key,slogan,pictureUrl,targetUrl
advertisement-24,"Lorem ipsum dolor sit amet, consectetu","http://example.org/a/b",http://lorem.com/ipsum
advertisement-25,"Lorem ipsum dolor sit amet, consectetu","http://example.org/a/b?",http://lorem.com/ipsum
advertisement-26,"Lorem ipsum dolor sit amet, consectetu","http://example.org/a/b?a&b",http://lorem.com/ipsum
# pictureUrl - no singular values
# targetUrl - standard variations
advertisement-27,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,http://a.b
advertisement-28,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/"
advertisement-29,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X"
advertisement-30,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://www.lorem-ipsum.org"
advertisement-31,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"https://www.lorem-ipsum.org"
advertisement-32,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://www.lorem-ipsum.org/dolor/sit.html"
advertisement-33,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://www.lorem-ipsum.org/dolor/sit.html#dolor"
advertisement-34,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org?a=1&b=2"
advertisement-35,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org?"
advertisement-36,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org?a"
advertisement-37,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org?a&b"
advertisement-38,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org/"
advertisement-39,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org/a"
advertisement-40,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org/a/b"
advertisement-41,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org/a/b?"
advertisement-42,"Lorem ipsum dolor sit amet, consectetu",http://lorem.com/ipsum,"http://example.org/a/b?a&b"
# targetUrl - no singular values
