key,title,keyWords,description,kickOffMoment,closeOutMoment,momentOfPublication,draftMode,key:manager
project-81,"Lorem ipsum dolor sit amet, consectetu",لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-82,"Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-83,"Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-84,"Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-85,"Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
# description - standard variations
project-15,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",L,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-16,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",Lo,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-17,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-18,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-19,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",โลเร็ม อิปซัม,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-20,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",‎لوريم إيبسوم‎,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-21,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",洛伦·伊普森,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-22,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",<marquee>Hacked</marquee>,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",<script>alert(‘Hacked!’);</script>,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
project-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu",' or 'A' = 'A,2112/01/02 00:00,2112/01/03 00:00,null,TRUE,manager-01
# description - no singular values
# kickOffMoment - standard variations (limits)
project-25,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:00,2112/01/02 00:00,null,TRUE,manager-01
project-26,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2000/01/01 00:01,2112/01/02 00:00,null,TRUE,manager-01
project-27,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:59,2112/01/02 00:00,null,TRUE,manager-01
project-28,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2200/12/31 23:58,2112/01/02 00:00,null,TRUE,manager-01
# kickOffMoment - no singular values
# closeOutMoment - standard variations (limits)
project-29,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2000/01/01 00:00,null,TRUE,manager-01
project-30,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2000/01/01 00:01,null,TRUE,manager-01
project-31,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2200/12/31 23:59,null,TRUE,manager-01
project-32,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2112/01/02 00:00,2200/12/31 23:58,null,TRUE,manager-01
# closeOutMoment - no singular variations
# draft-mode & momentOfPublication - standard variations
project-33,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2111/01/02 00:00,2113/01/03 00:00,2110/01/01 00:00,FALSE,manager-01
# draft-mode no singular variations,"","","","",""
# manager - standard variations
project-50,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2111/01/02 00:00,2113/01/03 00:00,2110/01/01 00:00,FALSE,manager-02
# intervalo moments
project-51,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2111/01/02 23:00,2113/01/02 23:01,2110/01/02 22:59,FALSE,manager-01
